"locality","period","sample","site","n_seeds","richness","storage_time","weight","Bolboschoenus_maritimus","Damasonium_polyspermum","Elatine_macropoda","Eleocharis_palustris","Ranunculus_trichophyllus","Schoenoplectus_litoralis","Asteraceae","Cyperus_fuscus","Juncus_bufonius","Pycreus_flavescens","Typha_domingensis","Ranunculus_baudotii","Tolypella_sp","Heliotropium_supinum","Cyperaceae","Melilotus_albus","Schoenoplectus_lacustris","Sporobolus_aculeatus","Trifolium_repens","Rumex_dentatus","Carex_sp","Eryngium_sp","Caryophyllaceae","Tolypella_glomerata","Mentha_pulegium"
"El_Hondon","FEB","EH20220210_24","El_Hondon_FEB",0,0,145,11.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El_Hondon","FEB","EH20220210_25","El_Hondon_FEB",1,1,146,14.79,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El_Hondon","FEB","EH20220210_26","El_Hondon_FEB",0,0,146,2.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El_Hondon","FEB","EH20220210_27","El_Hondon_FEB",1,1,146,10.62,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El_Hondon","FEB","EH20220210_28","El_Hondon_FEB",0,0,146,6.247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El_Hondon","FEB","EH20220210_29","El_Hondon_FEB",0,0,147,15.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El_Hondon","FEB","EH20220210_30","El_Hondon_FEB",2,1,147,9.97,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El_Rocio","FEB","1","El_Rocio_FEB",0,0,1,3.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El_Rocio","NOV","1","El_Rocio_NOV",22,6,1,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,1,1,2,1,0,0,0,0,0,0
"El_Rocio","NOV","10","El_Rocio_NOV",116,4,76,9.92,3,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,107,0,1,0,0,0,0,0
"El_Rocio","NOV","11","El_Rocio_NOV",1,1,78,3.17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"El_Rocio","NOV","12","El_Rocio_NOV",0,0,82,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El_Rocio","NOV","13","El_Rocio_NOV",0,0,82,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El_Rocio","NOV","14","El_Rocio_NOV",28,4,102,8.94,0,0,2,0,0,0,0,0,0,0,0,0,0,16,0,0,0,9,0,0,1,0,0,0,0
"El_Rocio","NOV","15","El_Rocio_NOV",19,2,102,6.56,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4,0,0,0,0,0,0,0
"El_Rocio","NOV","16","El_Rocio_NOV",20,3,103,7.65,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,14,0,0,0,1,0,0,0
"El_Rocio","NOV","17","El_Rocio_NOV",13,2,103,6.74,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,8,0,0,0,0,0,0,0
"El_Rocio","NOV","18","El_Rocio_NOV",15,2,103,8.11,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,9,0,0,0,0,0,0,0
"El_Rocio","NOV","19","El_Rocio_NOV",52,2,106,7.94,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,45,0,0,0,0,0,0,0
"El_Rocio","NOV","2","El_Rocio_NOV",1,1,5,3.82,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"El_Rocio","NOV","20","El_Rocio_NOV",13,5,106,7.77,0,0,1,3,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,1,0,0
"El_Rocio","NOV","21","El_Rocio_NOV",6,1,110,20.63,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"El_Rocio","NOV","22","El_Rocio_NOV",25,2,110,15.56,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,18,0,0,0,0,0,0,0
"El_Rocio","NOV","23","El_Rocio_NOV",24,2,110,12.35,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,11,0,0,0,0,0,0,0
"El_Rocio","NOV","24","El_Rocio_NOV",75,3,127,13.56,0,0,1,0,0,0,0,0,0,0,0,0,0,28,0,0,0,44,0,0,0,0,0,0,0
"El_Rocio","NOV","25","El_Rocio_NOV",25,2,161,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,23,0,0,0,0,0,0,0
"El_Rocio","NOV","26","El_Rocio_NOV",17,3,145,6.69,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,14,0,0,0,0,0,1,0
"El_Rocio","NOV","27","El_Rocio_NOV",19,3,154,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,10,0,0,0,0,0,0,0
"El_Rocio","NOV","28","El_Rocio_NOV",1,1,154,4.07,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"El_Rocio","NOV","29","El_Rocio_NOV",8,2,154,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0
"El_Rocio","NOV","3","El_Rocio_NOV",4,2,6,2.51,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0
"El_Rocio","NOV","30","El_Rocio_NOV",3,1,155,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"El_Rocio","NOV","4","El_Rocio_NOV",93,3,7,18.43,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,80,0,1,0,0,0,0,0
"El_Rocio","NOV","5","El_Rocio_NOV",3,2,14,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"El_Rocio","NOV","6","El_Rocio_NOV",61,2,49,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,51,0,0,0,0,0,0,0
"El_Rocio","NOV","7","El_Rocio_NOV",113,3,50,13.74,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,106,0,0,0,0,0,0,0
"El_Rocio","NOV","8","El_Rocio_NOV",110,4,55,15.17,0,0,0,0,0,2,0,0,0,0,0,0,0,23,0,0,4,81,0,0,0,0,0,0,0
"El_Rocio","NOV","9","El_Rocio_NOV",153,5,75,9.11,0,0,5,0,0,0,0,0,0,0,0,0,0,15,0,0,1,130,0,0,0,0,0,2,0
"Hato_Blanco","NOV","1","Hato_Blanco_NOV",0,0,15,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hato_Blanco","NOV","10","Hato_Blanco_NOV",1,1,64,9.15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hato_Blanco","NOV","11","Hato_Blanco_NOV",0,0,71,5.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hato_Blanco","NOV","12","Hato_Blanco_NOV",0,0,71,2.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hato_Blanco","NOV","13","Hato_Blanco_NOV",9,1,74,7.78,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
"Hato_Blanco","NOV","14","Hato_Blanco_NOV",5,1,74,6.68,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"Hato_Blanco","NOV","15","Hato_Blanco_NOV",0,0,84,4.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hato_Blanco","NOV","16","Hato_Blanco_NOV",0,0,90,3.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hato_Blanco","NOV","17","Hato_Blanco_NOV",0,0,105,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hato_Blanco","NOV","18","Hato_Blanco_NOV",1,1,106,5.62,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hato_Blanco","NOV","19","Hato_Blanco_NOV",1,1,109,5.86,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hato_Blanco","NOV","2","Hato_Blanco_NOV",0,0,19,2.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hato_Blanco","NOV","20","Hato_Blanco_NOV",0,0,109,5.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hato_Blanco","NOV","21","Hato_Blanco_NOV",0,0,111,8.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hato_Blanco","NOV","22","Hato_Blanco_NOV",0,0,117,8.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hato_Blanco","NOV","23","Hato_Blanco_NOV",3,1,117,7.54,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hato_Blanco","NOV","24","Hato_Blanco_NOV",2,1,119,4.95,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hato_Blanco","NOV","25","Hato_Blanco_NOV",0,0,119,5.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hato_Blanco","NOV","26","Hato_Blanco_NOV",0,0,120,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hato_Blanco","NOV","27","Hato_Blanco_NOV",0,0,120,5.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hato_Blanco","NOV","28","Hato_Blanco_NOV",0,0,120,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hato_Blanco","NOV","29","Hato_Blanco_NOV",0,0,120,2.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hato_Blanco","NOV","3","Hato_Blanco_NOV",0,0,20,4.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hato_Blanco","NOV","30","Hato_Blanco_NOV",0,0,120,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hato_Blanco","NOV","4","Hato_Blanco_NOV",4,1,25,17.11,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hato_Blanco","NOV","5","Hato_Blanco_NOV",0,0,26,8.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hato_Blanco","NOV","6","Hato_Blanco_NOV",0,0,26,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hato_Blanco","NOV","7","Hato_Blanco_NOV",0,0,53,2.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hato_Blanco","NOV","8","Hato_Blanco_NOV",0,0,54,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hato_Blanco","NOV","9","Hato_Blanco_NOV",0,0,61,3.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
